frame,file_loc,category,sub_index,folder
0,top_right/origin/top_right_0.png,origin,0,top_right
1,top_right/origin/top_right_1.png,origin,0,top_right
2,top_right/origin/top_right_2.png,origin,0,top_right
3,top_right/origin/top_right_3.png,origin,0,top_right
4,top_right/origin/top_right_4.png,origin,0,top_right
5,top_right/origin/top_right_5.png,origin,0,top_right
6,top_right/origin/top_right_6.png,origin,0,top_right
7,top_right/origin/top_right_7.png,origin,0,top_right
8,top_right/origin/top_right_8.png,origin,0,top_right
9,top_right/origin/top_right_9.png,origin,0,top_right
10,top_right/origin/top_right_10.png,origin,0,top_right
11,top_right/origin/top_right_11.png,origin,0,top_right
12,top_right/origin/top_right_12.png,origin,0,top_right
13,top_right/origin/top_right_13.png,origin,0,top_right
14,top_right/origin/top_right_14.png,origin,0,top_right
15,top_right/origin/top_right_15.png,origin,0,top_right
16,top_right/origin/top_right_16.png,origin,0,top_right
17,top_right/origin/top_right_17.png,origin,0,top_right
18,top_right/origin/top_right_18.png,origin,0,top_right
19,top_right/origin/top_right_19.png,origin,0,top_right
20,top_right/origin/top_right_20.png,origin,0,top_right
21,top_right/origin/top_right_21.png,origin,0,top_right
22,top_right/origin/top_right_22.png,origin,0,top_right
23,top_right/origin/top_right_23.png,origin,0,top_right
24,top_right/origin/top_right_24.png,origin,0,top_right
25,top_right/origin/top_right_25.png,origin,0,top_right
26,top_right/origin/top_right_26.png,origin,0,top_right
27,top_right/origin/top_right_27.png,origin,0,top_right
28,top_right/origin/top_right_28.png,origin,0,top_right
29,top_right/origin/top_right_29.png,origin,0,top_right
30,top_right/origin/top_right_30.png,origin,0,top_right
31,top_right/origin/top_right_31.png,origin,0,top_right
32,top_right/origin/top_right_32.png,origin,0,top_right
33,top_right/origin/top_right_33.png,origin,0,top_right
34,top_right/origin/top_right_34.png,origin,0,top_right
35,top_right/origin/top_right_35.png,origin,0,top_right
36,top_right/origin/top_right_36.png,origin,0,top_right
37,top_right/origin/top_right_37.png,origin,0,top_right
38,top_right/origin/top_right_38.png,origin,0,top_right
39,top_right/origin/top_right_39.png,origin,0,top_right
40,top_right/origin/top_right_40.png,origin,0,top_right
41,top_right/origin/top_right_41.png,origin,0,top_right
42,top_right/origin/top_right_42.png,origin,0,top_right
43,top_right/origin/top_right_43.png,origin,0,top_right
44,top_right/origin/top_right_44.png,origin,0,top_right
45,top_right/origin/top_right_45.png,origin,0,top_right
46,top_right/origin/top_right_46.png,origin,0,top_right
47,top_right/origin/top_right_47.png,origin,0,top_right
48,top_right/origin/top_right_48.png,origin,0,top_right
49,top_right/origin/top_right_49.png,origin,0,top_right
50,top_right/origin/top_right_50.png,origin,0,top_right
51,top_right/origin/top_right_51.png,origin,0,top_right
52,top_right/origin/top_right_52.png,origin,0,top_right
53,top_right/origin/top_right_53.png,origin,0,top_right
54,top_right/origin/top_right_54.png,origin,0,top_right
55,top_right/origin/top_right_55.png,origin,0,top_right
56,top_right/origin/top_right_56.png,origin,0,top_right
57,top_right/origin/top_right_57.png,origin,0,top_right
58,top_right/origin/top_right_58.png,origin,0,top_right
59,top_right/origin/top_right_59.png,origin,0,top_right
60,top_right/origin/top_right_60.png,origin,0,top_right
61,top_right/origin/top_right_61.png,origin,0,top_right
62,top_right/origin/top_right_62.png,origin,0,top_right
63,top_right/origin/top_right_63.png,origin,0,top_right
64,top_right/origin/top_right_64.png,origin,0,top_right
65,top_right/origin/top_right_65.png,origin,0,top_right
66,top_right/origin/top_right_66.png,origin,0,top_right
67,top_right/origin/top_right_67.png,origin,0,top_right
68,top_right/origin/top_right_68.png,origin,0,top_right
69,top_right/origin/top_right_69.png,origin,0,top_right
70,top_right/origin/top_right_70.png,origin,0,top_right
71,top_right/origin/top_right_71.png,origin,0,top_right
72,top_right/origin/top_right_72.png,origin,0,top_right
73,top_right/origin/top_right_73.png,origin,0,top_right
74,top_right/origin/top_right_74.png,origin,0,top_right
75,top_right/origin/top_right_75.png,origin,0,top_right
76,top_right/origin/top_right_76.png,origin,0,top_right
77,top_right/origin/top_right_77.png,origin,0,top_right
78,top_right/origin/top_right_78.png,origin,0,top_right
79,top_right/origin/top_right_79.png,origin,0,top_right
80,top_right/origin/top_right_80.png,origin,0,top_right
81,top_right/origin/top_right_81.png,origin,0,top_right
82,top_right/origin/top_right_82.png,origin,0,top_right
83,top_right/origin/top_right_83.png,origin,0,top_right
84,top_right/origin/top_right_84.png,origin,0,top_right
85,top_right/origin/top_right_85.png,origin,0,top_right
86,top_right/origin/top_right_86.png,origin,0,top_right
87,top_right/origin/top_right_87.png,origin,0,top_right
88,top_right/origin/top_right_88.png,origin,0,top_right
89,top_right/origin/top_right_89.png,origin,0,top_right
90,top_right/origin/top_right_90.png,origin,0,top_right
91,top_right/origin/top_right_91.png,origin,0,top_right
92,top_right/origin/top_right_92.png,origin,0,top_right
93,top_right/origin/top_right_93.png,origin,0,top_right
94,top_right/origin/top_right_94.png,origin,0,top_right
95,top_right/origin/top_right_95.png,origin,0,top_right
96,top_right/origin/top_right_96.png,origin,0,top_right
97,top_right/origin/top_right_97.png,origin,0,top_right
98,top_right/origin/top_right_98.png,origin,0,top_right
99,top_right/origin/top_right_99.png,origin,0,top_right
100,top_right/origin/top_right_100.png,origin,0,top_right
101,top_right/origin/top_right_101.png,origin,0,top_right
102,top_right/origin/top_right_102.png,origin,0,top_right
103,top_right/origin/top_right_103.png,origin,0,top_right
104,top_right/origin/top_right_104.png,origin,0,top_right
105,top_right/origin/top_right_105.png,origin,0,top_right
106,top_right/origin/top_right_106.png,origin,0,top_right
107,top_right/origin/top_right_107.png,origin,0,top_right
108,top_right/origin/top_right_108.png,origin,0,top_right
109,top_right/origin/top_right_109.png,origin,0,top_right
110,top_right/origin/top_right_110.png,origin,0,top_right
111,top_right/origin/top_right_111.png,origin,0,top_right
112,top_right/origin/top_right_112.png,origin,0,top_right
113,top_right/origin/top_right_113.png,origin,0,top_right
114,top_right/origin/top_right_114.png,origin,0,top_right
115,top_right/origin/top_right_115.png,origin,0,top_right
116,top_right/origin/top_right_116.png,origin,0,top_right
117,top_right/origin/top_right_117.png,origin,0,top_right
118,top_right/origin/top_right_118.png,origin,0,top_right
119,top_right/origin/top_right_119.png,origin,0,top_right
120,top_right/origin/top_right_120.png,origin,0,top_right
121,top_right/origin/top_right_121.png,origin,0,top_right
122,top_right/origin/top_right_122.png,origin,0,top_right
123,top_right/origin/top_right_123.png,origin,0,top_right
124,top_right/origin/top_right_124.png,origin,0,top_right
125,top_right/origin/top_right_125.png,origin,0,top_right
126,top_right/origin/top_right_126.png,origin,0,top_right
127,top_right/origin/top_right_127.png,origin,0,top_right
128,top_right/origin/top_right_128.png,origin,0,top_right
129,top_right/origin/top_right_129.png,origin,0,top_right
130,top_right/origin/top_right_130.png,origin,0,top_right
131,top_right/origin/top_right_131.png,origin,0,top_right
132,top_right/origin/top_right_132.png,origin,0,top_right
133,top_right/origin/top_right_133.png,origin,0,top_right
134,top_right/origin/top_right_134.png,origin,0,top_right
135,top_right/origin/top_right_135.png,origin,0,top_right
