scorer,,,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan
bodyparts,,,mouth tip,mouth tip,gill,gill,root of pelvic fin,root of pelvic fin,caudal peduncle,caudal peduncle,lower tip of caudal fin,lower tip of caudal fin,middle of caudal fin,middle of caudal fin
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,cam-2_0514-1549,cam-2_1.png,903.125,292.1875,922.458629,353.664303,948.734177,352.531646,948.699764,456.264775,971.631206,530.260047,946.335697,517.49409
labeled-data,cam-2_0514-1549,cam-2_10.png,925.559105,1209.584665,924.600639,1142.811502,972.523962,1139.616613,962.619808,1037.380192,984.984026,961.661342,950.144928,973.043478
labeled-data,cam-2_0514-1549,cam-2_100.png,944.473684,1428.947368,940.263158,1480.526316,970.926518,1490.734824,953.035144,1569.009585,969.210526,1579.736842,939.622642,1581.132075
labeled-data,cam-2_0514-1549,cam-2_101.png,988.380282,1441.197183,973.063973,1493.602694,999.6633,1505.387205,961.822126,1573.101952,,,,
labeled-data,cam-2_0514-1549,cam-2_102.png,994.699647,1445.229682,981.315789,1490.0,1006.315789,1511.315789,956.578947,1572.105263,,,939.736842,1571.315789
labeled-data,cam-2_0514-1549,cam-2_103.png,1000.0,1449.809886,984.634761,1492.947103,1010.739857,1508.591885,965.239295,1567.506297,,,944.906445,1569.230769
labeled-data,cam-2_0514-1549,cam-2_104.png,997.567568,1467.567568,985.441527,1513.842482,1015.75179,1516.945107,968.019093,1568.019093,,,946.756757,1569.459459
labeled-data,cam-2_0514-1549,cam-2_105.png,997.916667,1486.979167,978.947368,1523.947368,1010.0,1530.789474,,,,,,
labeled-data,cam-2_0514-1549,cam-2_106.png,982.051282,1486.324786,969.197397,1530.151844,996.963124,1527.331887,,,,,,
labeled-data,cam-2_0514-1549,cam-2_107.png,968.765743,1485.894207,955.147059,1527.205882,989.705882,1523.77451,,,,,,
labeled-data,cam-2_0514-1549,cam-2_108.png,967.412141,1479.552716,953.821138,1517.073171,989.430894,1519.349593,,,,,,
labeled-data,cam-2_0514-1549,cam-2_109.png,969.230769,1476.923077,954.173486,1514.729951,989.198036,1514.566285,,,,,,
labeled-data,cam-2_0514-1549,cam-2_11.png,890.724638,1246.666667,894.782609,1220.57971,939.130435,1251.884058,933.913043,1212.753623,959.710145,1168.695652,931.782946,1171.705426
labeled-data,cam-2_0514-1549,cam-2_110.png,969.366197,1478.873239,955.789474,1517.631579,989.210526,1513.421053,,,,,,
labeled-data,cam-2_0514-1549,cam-2_111.png,968.110236,1477.952756,956.692913,1508.070866,987.795276,1512.401575,,,,,,
labeled-data,cam-2_0514-1549,cam-2_112.png,967.605634,1477.816901,955.609756,1509.918699,990.081301,1511.869919,,,,,,
labeled-data,cam-2_0514-1549,cam-2_113.png,974.055416,1474.811083,953.323486,1507.237814,988.330871,1515.805022,,,,,,
labeled-data,cam-2_0514-1549,cam-2_114.png,973.089701,1479.401993,955.531453,1507.809111,990.238612,1509.544469,,,,,,
labeled-data,cam-2_0514-1549,cam-2_115.png,974.031008,1478.294574,953.98374,1511.869919,990.894309,1511.707317,,,,,,
labeled-data,cam-2_0514-1549,cam-2_116.png,977.906977,1478.682171,956.756757,1513.513514,993.75,1512.5,,,,,,
