scorer,,,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan
bodyparts,,,mouth tip,mouth tip,gill,gill,root of pelvic fin,root of pelvic fin,caudal peduncle,caudal peduncle,lower tip of caudal fin,lower tip of caudal fin,middle of caudal fin,middle of caudal fin
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,cam-3_0514-1549,cam-3_1.png,1729.220779,1092.207792,1755.194805,1129.87013,1733.116883,1188.311688,1771.428571,1183.116883,1792.857143,1231.168831,1796.753247,1178.571429
labeled-data,cam-3_0514-1549,cam-3_10.png,1226.411765,1117.647059,1328.176471,1106.470588,1352.294118,1178.823529,1552.294118,1146.470588,,,1639.352941,1133.529412
labeled-data,cam-3_0514-1549,cam-3_11.png,1079.710145,1166.666667,1111.594203,1151.207729,1129.951691,1213.52657,1198.067633,1162.801932,1144.444444,1176.811594,1157.004831,1133.816425
labeled-data,cam-3_0514-1549,cam-3_12.png,877.531915,1131.914894,912.106383,1127.12766,927.531915,1184.042553,1033.382979,1167.021277,1102.0,1202.12766,1086.574468,1155.319149
labeled-data,cam-3_0514-1549,cam-3_13.png,655.723404,1089.893617,745.085106,1094.148936,748.808511,1145.744681,906.255319,1125.531915,1013.170213,1172.87234,991.361702,1123.93617
labeled-data,cam-3_0514-1549,cam-3_14.png,656.787234,1082.978723,748.808511,1090.957447,734.446809,1140.957447,884.978723,1128.723404,976.468085,1176.595745,955.723404,1125.0
labeled-data,cam-3_0514-1549,cam-3_15.png,652.882353,1080.0,738.176471,1090.0,728.764706,1138.235294,856.411765,1124.117647,946.411765,1167.647059,937.0,1125.294118
labeled-data,cam-3_0514-1549,cam-3_16.png,796.135266,952.173913,,,773.913043,1054.10628,,,757.487923,1191.304348,762.318841,1146.859903
labeled-data,cam-3_0514-1549,cam-3_17.png,1081.255319,769.148936,1011.574468,776.06383,1020.617021,847.87234,926.468085,839.361702,831.787234,885.106383,843.489362,832.978723
labeled-data,cam-3_0514-1549,cam-3_18.png,1623.671498,1194.68599,1550.724638,1185.990338,1559.42029,1253.140097,1458.937198,1208.21256,1386.47343,1208.21256,1392.270531,1174.396135
labeled-data,cam-3_0514-1549,cam-3_19.png,1466.361702,1162.765957,1570.085106,1171.808511,1586.574468,1247.340426,,,1535.510638,1258.510638,,
labeled-data,cam-3_0514-1549,cam-3_2.png,1725.324675,1085.714286,1755.194805,1129.87013,1731.818182,1168.181818,1772.077922,1185.064935,1792.857143,1231.168831,1796.753247,1178.571429
labeled-data,cam-3_0514-1549,cam-3_20.png,1347.826087,1114.975845,1411.111111,1127.05314,1422.705314,1187.922705,1560.386473,1182.125604,,,,
labeled-data,cam-3_0514-1549,cam-3_21.png,946.859903,1035.2657,984.057971,1057.971014,989.855072,1117.391304,1074.879227,1142.995169,1111.594203,1219.806763,1128.502415,1168.599034
labeled-data,cam-3_0514-1549,cam-3_22.png,909.836066,1019.344262,956.393443,1029.508197,954.098361,1080.655738,1055.081967,1082.622951,1087.540984,1138.360656,1100.327869,1084.262295
labeled-data,cam-3_0514-1549,cam-3_23.png,834.446809,1003.723404,920.085106,1006.914894,902.531915,1068.085106,1040.829787,1053.191489,1150.93617,1082.446809,1130.191489,1039.893617
